column,row,vax_type,percentage
1,1,full,1%
2,1,full,2%
3,1,full,3%
4,1,full,4%
5,1,full,5%
6,1,full,6%
7,1,full,7%
8,1,full,8%
9,1,full,9%
10,1,full,10%
1,2,full,11.00%
2,2,full,12.00%
3,2,full,13.00%
4,2,full,14.00%
5,2,full,15.00%
6,2,full,16.00%
7,2,full,17.00%
8,2,full,18.00%
9,2,full,19.00%
10,2,full,20.00%
1,3,full,21.00%
2,3,full,22.00%
3,3,full,23.00%
4,3,full,24.00%
5,3,full,25.00%
6,3,full,26.00%
7,3,full,27.00%
8,3,full,28.00%
9,3,full,29.00%
10,3,full,30.00%
1,4,full,31.00%
2,4,full,32.00%
3,4,full,33.00%
4,4,full,34.00%
5,4,full,35.00%
6,4,full,36.00%
7,4,full,37.00%
8,4,full,38.00%
9,4,full,39.00%
10,4,full,40.00%
1,5,full,41.00%
2,5,full,42.00%
3,5,full,43.00%
4,5,full,44.00%
5,5,full,45.00%
6,5,full,46.00%
7,5,full,47.00%
8,5,partial,48.00%
9,5,partial,49.00%
10,5,partial,50.00%
1,6,partial,51.00%
2,6,partial,52.00%
3,6,partial,53.00%
4,6,partial,54.00%
5,6,partial,55.00%
6,6,partial,56.00%
7,6,partial,57.00%
8,6,partial,58.00%
9,6,partial,59.00%
10,6,partial,60.00%
1,7,partial,61.00%
2,7,unvaccinated,62.00%
3,7,unvaccinated,63.00%
4,7,unvaccinated,64.00%
5,7,unvaccinated,65.00%
6,7,unvaccinated,66.00%
7,7,unvaccinated,67.00%
8,7,unvaccinated,68.00%
9,7,unvaccinated,69.00%
10,7,unvaccinated,70.00%
1,8,unvaccinated,71.00%
2,8,unvaccinated,72.00%
3,8,unvaccinated,73.00%
4,8,unvaccinated,74.00%
5,8,unvaccinated,75.00%
6,8,unvaccinated,76.00%
7,8,unvaccinated,77.00%
8,8,unvaccinated,78.00%
9,8,unvaccinated,79.00%
10,8,unvaccinated,80.00%
1,9,unvaccinated,81.00%
2,9,unvaccinated,82.00%
3,9,unvaccinated,83.00%
4,9,unvaccinated,84.00%
5,9,unvaccinated,85.00%
6,9,unvaccinated,86.00%
7,9,unvaccinated,87.00%
8,9,unvaccinated,88.00%
9,9,unvaccinated,89.00%
10,9,unvaccinated,90.00%
1,10,unvaccinated,91.00%
2,10,unvaccinated,92.00%
3,10,unvaccinated,93.00%
4,10,unvaccinated,94.00%
5,10,unvaccinated,95.00%
6,10,unvaccinated,96.00%
7,10,unvaccinated,97.00%
8,10,unvaccinated,98.00%
9,10,unvaccinated,99.00%
10,10,unvaccinated,100.00%
,,,
